id;name;logo;venue_name;venue_city
1;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books
2;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium
3;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland
4;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
5;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon
6;EXE projection Fresh;support Gorgeous;withdrawal;copying
7;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania
8;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
9;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate
10;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation
